Team,Game_ID,Home,Average Starting Field Position,Big Plays,Median Pass Yards,Median Rush Yards,Number Of Runs,Sacks,Time Of Possession,Total Points
SD,2009111511,True,28.700000000000003,8.0,6.0,2.5,28.0,2.0,1823.0,31.0
IND,2009111512,True,21.33333333333333,9.0,6.0,4.0,18.0,1.0,1498.0,35.0
CLE,2009111600,True,20.454545454545453,2.0,0.0,2.0,25.0,4.0,1708.0,0.0
CAR,2009111900,True,28.0,8.0,0.0,4.5,28.0,4.0,1767.0,17.0
BAL,2009112200,True,24.0,6.0,5.0,2.0,31.0,0.0,1956.0,15.0
TB,2009112208,True,19.36363636363636,5.0,0.0,4.0,23.0,3.0,1656.0,7.0
NYG,2009112207,True,30.900000000000006,9.0,5.0,2.0,26.0,1.0,1021.0,34.0
MIN,2009112206,True,27.181818181818187,9.0,8.0,2.0,36.0,2.0,2531.0,35.0
KC,2009112205,True,29.818181818181813,6.0,0.0,3.0,19.0,5.0,1345.0,27.0
JAC,2009112204,True,26.75,4.0,3.0,2.5,34.0,2.0,2184.0,18.0
DAL,2009112201,True,22.25,3.0,2.0,4.0,32.0,1.0,1885.0,7.0
DET,2009112202,True,24.25,9.0,6.0,3.0,17.0,1.0,1514.0,38.0
GB,2009112203,True,27.0,6.0,5.0,3.0,29.0,2.0,2499.0,30.0
STL,2009112209,True,24.444444444444443,5.0,0.0,3.0,27.0,3.0,1702.0,13.0
DEN,2009112210,True,25.727272727272734,5.0,0.0,6.0,17.0,3.0,1297.0,3.0
OAK,2009112212,True,35.77777777777777,4.0,0.5,4.5,22.0,0.0,1296.0,20.0
NE,2009112211,True,29.22222222222223,6.0,5.0,2.0,35.0,2.0,2394.0,30.0
CHI,2009112213,True,29.125,3.0,1.0,3.0,20.0,1.0,1743.0,20.0
HOU,2009112300,True,33.111111111111114,5.0,4.0,3.0,17.0,4.0,1661.0,17.0
DET,2009112600,True,33.41666666666667,2.0,0.0,3.0,23.0,2.0,1561.0,12.0
DAL,2009112601,True,21.545454545454547,10.0,1.0,2.5,24.0,2.0,1874.0,24.0
DEN,2009112602,True,25.66666666666667,6.0,8.0,2.0,39.0,1.0,2130.0,26.0
BUF,2009112901,True,23.125,7.0,3.5,5.0,23.0,6.0,,31.0
ATL,2009112900,True,28.099999999999994,6.0,4.5,2.0,25.0,6.0,1891.0,20.0
CIN,2009112902,True,32.7,3.0,0.0,4.0,43.0,3.0,2291.0,16.0
STL,2009112907,True,24.545454545454547,6.0,4.0,3.0,28.0,4.0,2012.0,17.0
HOU,2009112903,True,19.75,4.0,7.0,5.0,23.0,2.0,1912.0,27.0
NYJ,2009112905,True,30.625,4.0,6.0,3.0,39.0,3.0,1998.0,16.0
PHI,2009112906,True,20.200000000000003,7.0,4.0,3.0,27.0,2.0,1813.0,27.0
SF,2009112910,True,22.400000000000006,5.0,3.0,2.5,18.0,0.0,1840.0,20.0
SD,2009112909,True,22.25,6.0,12.0,2.0,34.0,0.0,2120.0,42.0
TEN,2009112908,True,18.099999999999994,12.0,4.0,4.0,23.0,4.0,1867.0,20.0
